Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Percentage Share of Agricultural Imports in National Imports,2009-10,Imports,,3.89,2009,"Financial Year (Apr - Mar), 2009"
India,Spices,2009-10,Exports,601.4,5948.73,2009,"Financial Year (Apr - Mar), 2009"
India,Pulses,2009-10,Exports,100.13,408.32,2009,"Financial Year (Apr - Mar), 2009"
India,Processed meat,2009-10,Exports,0.67,8.79,2009,"Financial Year (Apr - Mar), 2009"
India,Total National Imports,2009-10,Imports,,1363735.55,2009,"Financial Year (Apr - Mar), 2009"
India,Tobacco unmanufactured,2009-10,Imports,1.07,37.76,2009,"Financial Year (Apr - Mar), 2009"
India,Other meat,2009-10,Exports,1.17,10.75,2009,"Financial Year (Apr - Mar), 2009"
India,"Jute, raw",2009-10,Exports,48.32,54.4,2009,"Financial Year (Apr - Mar), 2009"
India,Total Agricultural Imports,2009-10,Imports,,53056.37,2009,"Financial Year (Apr - Mar), 2009"
India,Cashew,2009-10,Exports,107.47,2801.58,2009,"Financial Year (Apr - Mar), 2009"
India,Sheep/goat meat,2009-10,Exports,53.07,745.94,2009,"Financial Year (Apr - Mar), 2009"
India,Castor oil,2009-10,Exports,397.99,2179.28,2009,"Financial Year (Apr - Mar), 2009"
India,Rice- Basmati,2009-10,Exports,2016.87,10889.6,2009,"Financial Year (Apr - Mar), 2009"
India,Buffalo meat,2009-10,Exports,490.4,5481.43,2009,"Financial Year (Apr - Mar), 2009"
India,Cotton raw including Waste,2009-10,Imports,,1241.37,2009,"Financial Year (Apr - Mar), 2009"
India,Pulses,2009-10,Imports,3749.99,10629.16,2009,"Financial Year (Apr - Mar), 2009"
India,Cashew nut shell liquid,2009-10,Exports,11.23,27.62,2009,"Financial Year (Apr - Mar), 2009"
India,Animal casings,2009-10,Exports,1.72,32.82,2009,"Financial Year (Apr - Mar), 2009"
India,Jute hessian,2009-10,Imports,,231.22,2009,"Financial Year (Apr - Mar), 2009"
India,Tea,2009-10,Exports,207.83,2943.53,2009,"Financial Year (Apr - Mar), 2009"
India,Misc processed items,2009-10,Exports,,838.19,2009,"Financial Year (Apr - Mar), 2009"
India,Jute hessian,2009-10,Exports,,307.63,2009,"Financial Year (Apr - Mar), 2009"
India,Rice- Basmati,2009-10,Imports,0,0,2009,"Financial Year (Apr - Mar), 2009"
India,Milled products,2009-10,Exports,72.74,153.63,2009,"Financial Year (Apr - Mar), 2009"
India,"Jute, raw",2009-10,Imports,62.66,149.49,2009,"Financial Year (Apr - Mar), 2009"
India,Other cereals,2009-10,Imports,33.69,76.33,2009,"Financial Year (Apr - Mar), 2009"
India,Cocoa products,2009-10,Exports,5.86,96.99,2009,"Financial Year (Apr - Mar), 2009"
India,Vegetable oils,2009-10,Imports,6734.45,22316.68,2009,"Financial Year (Apr - Mar), 2009"
India,Sesame seeds,2009-10,Exports,215.69,1494.1,2009,"Financial Year (Apr - Mar), 2009"
India,Shellac,2009-10,Exports,4.04,71.3,2009,"Financial Year (Apr - Mar), 2009"
India,Niger seeds,2009-10,Imports,3.5,13.33,2009,"Financial Year (Apr - Mar), 2009"
India,Ayush and herbal products,2009-10,Imports,17.73,136.36,2009,"Financial Year (Apr - Mar), 2009"
India,Oil meals,2009-10,Imports,127.73,104.69,2009,"Financial Year (Apr - Mar), 2009"
India,Tobacco unmanufactured,2009-10,Exports,230.8,3621.44,2009,"Financial Year (Apr - Mar), 2009"
India,Marine products,2009-10,Imports,27.35,303.09,2009,"Financial Year (Apr - Mar), 2009"
India,Alcoholic beverages,2009-10,Imports,,1244.26,2009,"Financial Year (Apr - Mar), 2009"
India,Wheat,2009-10,Imports,164.38,231.9,2009,"Financial Year (Apr - Mar), 2009"
India,Guargam meal,2009-10,Imports,0.07,2.41,2009,"Financial Year (Apr - Mar), 2009"
India,Niger seeds,2009-10,Exports,6,24.23,2009,"Financial Year (Apr - Mar), 2009"
India,Sugar,2009-10,Exports,44.74,110.21,2009,"Financial Year (Apr - Mar), 2009"
India,Other cereals,2009-10,Exports,2881.22,2973.19,2009,"Financial Year (Apr - Mar), 2009"
India,Cereal preparations,2009-10,Exports,172.2,1030.09,2009,"Financial Year (Apr - Mar), 2009"
India,Castor oil,2009-10,Imports,0.06,0.44,2009,"Financial Year (Apr - Mar), 2009"
India,Wheat,2009-10,Exports,0.03,0.05,2009,"Financial Year (Apr - Mar), 2009"
India,Cocoa products,2010-11,Imports,33.8,584.21,2010,"Financial Year (Apr - Mar), 2010"
India,Rice- Basmati,2010-11,Exports,2330.25,11354.63,2010,"Financial Year (Apr - Mar), 2010"
India,Coffee,2010-11,Exports,231,3009.91,2010,"Financial Year (Apr - Mar), 2010"
India,Tea,2010-11,Exports,238.15,3354.34,2010,"Financial Year (Apr - Mar), 2010"
India,Spices,2010-11,Imports,124.49,1595.91,2010,"Financial Year (Apr - Mar), 2010"
India,Ayush and herbal products,2010-11,Exports,70.58,1346.99,2010,"Financial Year (Apr - Mar), 2010"
India,Sesame seeds,2010-11,Exports,360.13,2307.52,2010,"Financial Year (Apr - Mar), 2010"
India,Tobacco manufactured,2010-11,Imports,,80.36,2010,"Financial Year (Apr - Mar), 2010"
